id,genre
176,Family
176,Musical
177,Action
177,Adventure
177,Sci-Fi
178,Action
178,Crime
178,Drama
178,Mystery
178,Thriller
179,Adventure
179,Family
179,Fantasy
180,Adventure
180,Drama
180,Thriller
180,Western
181,Adventure
181,Animation
181,Comedy
181,Family
181,Sport
182,Adventure
182,Animation
182,Comedy
182,Family
182,Western
183,Adventure
183,Animation
183,Comedy
183,Family
184,Action
184,Mystery
184,Thriller
185,Action
185,Adventure
185,Animation
185,Comedy
185,Family
186,Action
186,Adventure
186,Comedy
186,Sci-Fi
187,Adventure
187,Sci-Fi
187,Thriller
189,Adventure
189,Animation
189,Comedy
189,Family
189,Fantasy
189,Sci-Fi
190,Adventure
190,Sci-Fi
190,Thriller
191,Action
191,Comedy
191,Crime
191,Thriller
192,Action
192,Adventure
192,Animation
192,Comedy
192,Family
192,Fantasy
193,Action
193,Crime
193,Mystery
193,Thriller
194,Action
194,Adventure
194,Drama
195,Action
195,Adventure
195,Family
195,Mystery
196,Adventure
196,Family
196,Fantasy
196,Mystery
197,Adventure
197,Drama
197,Romance
197,War
198,Action
198,Adventure
198,Sci-Fi
199,Adventure
199,Animation
199,Family
199,Thriller
200,Action
200,Fantasy
201,Adventure
201,Comedy
201,Family
201,Fantasy
202,Action
202,Animation
202,Comedy
202,Family
202,Sci-Fi
203,Adventure
203,Family
203,Fantasy
204,Action
204,Comedy
204,Fantasy
206,Action
206,Adventure
206,Fantasy
207,Fantasy
208,Adventure
208,Sci-Fi
208,Thriller
209,Mystery
209,Thriller
210,Adventure
210,Animation
210,Comedy
210,Family
210,Musical
211,Action
211,Adventure
211,Fantasy
211,Sci-Fi
211,Thriller
212,Action
212,Crime
212,Thriller
213,Action
213,Adventure
213,Crime
213,Mystery
213,Thriller
214,Action
214,Adventure
214,Fantasy
215,Action
215,Sci-Fi
216,Action
216,Adventure
216,History
217,Action
217,Adventure
217,Thriller
218,Action
219,Comedy
219,Family
219,Fantasy
220,Action
220,Adventure
220,Sci-Fi
220,Thriller
221,Action
221,Adventure
221,Thriller
222,Action
222,Adventure
222,Drama
222,Thriller
223,Action
223,Adventure
223,Sci-Fi
223,Thriller
224,Adventure
224,Drama
224,Fantasy
225,Action
225,Fantasy
225,Thriller
226,Action
226,Thriller
227,Action
227,Adventure
227,Comedy
227,Crime
228,Adventure
228,Mystery
228,Sci-Fi
229,Adventure
229,Animation
229,Comedy
229,Family
229,Fantasy
230,Action
230,Drama
230,Sci-Fi
230,Thriller
231,Action
231,Adventure
231,Sci-Fi
231,Thriller
232,Action
232,Crime
232,Sci-Fi
232,Thriller
233,Action
233,Family
233,Sport
234,Comedy
234,Drama
234,Romance
235,Action
235,Comedy
235,Romance
236,Action
236,Adventure
